CountryCode,Prefix,Length,OperatorId,OperatorName,Regions
227,94,8,moov,Moov,NE
227,95,8,moov,Moov,NE
227,96,8,airtel,Airtel,NE
227,97,8,airtel,Airtel,NE
227,98,8,airtel,Airtel,NE
227,99,8,airtel,Airtel,NE
231,220,9,tlc,Liberia Telecom,LR
231,330,9,west_africa_telecom,West Africa Telecom,LR
231,4240,9,connect,Connect,LR
231,46,7,,,LR
231,47,7,,,LR
231,50,7,,,LR
231,51,7,,,LR
231,52,7,,,LR
231,53,7,,,LR
231,54,7,,,LR
231,56,7,,,LR
231,57,7,,,LR
231,58,7,,,LR
231,59,7,,,LR
231,550,7,,,LR
231,551,7,,,LR
231,552,7,,,LR
231,553,7,,,LR
231,554,7,,,LR
231,556,7,,,LR
231,557,7,,,LR
231,558,7,,,LR
231,559,7,,,LR
231,555,7,,,LR
231,555,9,lonestar_cell,Lonestar Cell,LR
231,6,7,lonestar_cell,Lonestar Cell,LR
231,77,9,orange,Orange,LR
231,88,9,lonestar_cell,Lonestar Cell,LR
243,80,9,orange,Orange,CD
243,84,9,orange,Orange,CD
243,85,9,orange,Orange,CD
243,89,9,orange,Orange,CD
243,81,9,vodacom,Vodacom,CD
243,82,9,vodacom,Vodacom,CD
243,83,9,vodacom,Vodacom,CD
243,86,9,vodacom,Vodacom,CD
243,88,7,yozma_timeturns_sprl_ytt,Yozma Timeturns sprl -YTT,CD
243,90,9,africell,Africell,CD
243,91,9,africell,Africell,CD
243,97,9,airtel,Airtel,CD
243,98,9,airtel,Airtel,CD
243,99,9,airtel,Airtel,CD
219,2,7,africell,Africell,GM
219,7,7,africell,Africell,GM
219,3,7,qcell,QCell,GM
219,40,7,africell,Africell,GM
219,41,7,africell,Africell,GM
219,45,7,africell,Africell,GM
219,50,7,qcell,QCell,GM
219,51,7,qcell,QCell,GM
219,52,7,qcell,QCell,GM
219,53,7,qcell,QCell,GM
219,54,7,qcell,QCell,GM
219,58,7,qcell,QCell,GM
219,59,7,qcell,QCell,GM
219,6,7,comium,Comium,GM
219,9,7,gamcel,Gamcel,GM
234,701,10,airtel,Airtel,NG
234,708,10,airtel,Airtel,NG
234,7020,10,smile,Smile,NG
234,7021,10,ntel,Ntel,NG
234,7022,10,ntel,Ntel,NG
234,7024,10,prestel,Prestel,NG
234,7025,10,mtn,MTN,NG
234,7026,10,mtn,MTN,NG
234,7027,10,multilinks,Multilinks,NG
234,7028,10,starcomms,Starcomms,NG
234,7029,10,starcomms,Starcomms,NG
234,703,10,mtn,MTN,NG
234,704,10,mtn,MTN,NG
234,706,10,mtn,MTN,NG
234,705,10,glo,Glo,NG
234,905,10,glo,Glo,NG
234,707,10,mtn,MTN,NG
234,709,10,multilinks,Multilinks,NG
234,71,10,,,NG
234,72,10,,,NG
234,801,10,mafab,MAFAB,NG
234,802,10,airtel,Airtel,NG
234,808,10,airtel,Airtel,NG
234,803,10,mtn,MTN,NG
234,806,10,mtn,MTN,NG
234,804,10,ntel,Ntel,NG
234,805,10,glo,Glo,NG
234,807,10,glo,Glo,NG
234,809,10,9mobile,9mobile,NG
234,810,10,mtn,MTN,NG
234,813,10,mtn,MTN,NG
234,814,10,mtn,MTN,NG
234,816,10,mtn,MTN,NG
234,811,10,glo,Glo,NG
234,815,10,glo,Glo,NG
234,812,10,airtel,Airtel,NG
234,817,10,9mobile,9mobile,NG
234,818,10,9mobile,9mobile,NG
234,8190,10,starcomms,Starcomms,NG
234,8191,10,starcomms,Starcomms,NG
234,901,10,airtel,Airtel,NG
234,902,10,airtel,Airtel,NG
234,907,10,airtel,Airtel,NG
234,903,10,mtn,MTN,NG
234,906,10,mtn,MTN,NG
234,904,10,airtel,Airtel,NG
234,908,10,9mobile,9mobile,NG
234,909,10,9mobile,9mobile,NG
234,911,10,airtel,Airtel,NG
234,912,10,airtel,Airtel,NG
234,913,10,mtn,MTN,NG
234,914,10,,,NG
234,915,10,glo,Glo,NG
234,916,10,mtn,MTN,NG
226,01,8,onatel,Onatel,BF
226,02,8,onatel,Onatel,BF
226,03,8,onatel,Onatel,BF
226,04,8,orange,Orange,BF
226,05,8,orange,Orange,BF
226,06,8,orange,Orange,BF
226,07,8,orange,Orange,BF
226,50,8,onatel,Onatel,BF
226,51,8,onatel,Onatel,BF
226,52,8,onatel,Onatel,BF
226,53,8,onatel,Onatel,BF
226,54,8,orange,Orange,BF
226,55,8,orange,Orange,BF
226,56,8,orange,Orange,BF
226,57,8,orange,Orange,BF
226,64,8,orange,Orange,BF
226,65,8,orange,Orange,BF
226,66,8,orange,Orange,BF
226,67,8,orange,Orange,BF
226,74,8,orange,Orange,BF
226,75,8,orange,Orange,BF
226,76,8,orange,Orange,BF
226,77,8,orange,Orange,BF
226,58,8,telecel_faso,Telecel Faso,BF
226,60,8,onatel,Onatel,BF
226,61,8,onatel,Onatel,BF
226,62,8,onatel,Onatel,BF
226,63,8,onatel,Onatel,BF
226,70,8,onatel,Onatel,BF
226,71,8,onatel,Onatel,BF
226,72,8,onatel,Onatel,BF
226,73,8,onatel,Onatel,BF
226,68,8,telecel_faso,Telecel Faso,BF
226,69,8,telecel_faso,Telecel Faso,BF
226,78,8,telecel_faso,Telecel Faso,BF
226,79,8,telecel_faso,Telecel Faso,BF
237,242,9,,,CM
237,243,9,,,CM
237,62,9,camtel,Camtel,CM
237,640,9,orange,Orange,CM
237,650,9,mtn_cameroon,MTN Cameroon,CM
237,651,9,mtn_cameroon,MTN Cameroon,CM
237,652,9,mtn_cameroon,MTN Cameroon,CM
237,653,9,mtn_cameroon,MTN Cameroon,CM
237,654,9,mtn_cameroon,MTN Cameroon,CM
237,655,9,orange,Orange,CM
237,656,9,orange,Orange,CM
237,657,9,orange,Orange,CM
237,658,9,orange,Orange,CM
237,659,9,orange,Orange,CM
237,66,9,nexttel,NEXTTEL,CM
237,67,9,mtn_cameroon,MTN Cameroon,CM
237,680,9,mtn_cameroon,MTN Cameroon,CM
237,681,9,mtn_cameroon,MTN Cameroon,CM
237,682,9,mtn_cameroon,MTN Cameroon,CM
237,683,9,mtn_cameroon,MTN Cameroon,CM
237,684,9,nexttel,NEXTTEL,CM
237,685,9,nexttel,NEXTTEL,CM
237,686,9,orange,Orange,CM
237,687,9,orange,Orange,CM
237,688,9,orange,Orange,CM
237,689,9,orange,Orange,CM
237,69,9,orange,Orange,CM
1,201200,10,,,US
1,201201,10,,,US
1,201202,10,,,US
1,201203,10,,,US
1,201204,10,,,US
1,201205,10,,,US
1,201206,10,,,US
1,201207,10,,,US
1,201208,10,,,US
1,201209,10,,,US
1,201210,10,,,US
1,201211,10,,,US
1,201212,10,,,US
1,201213,10,,,US
1,201214,10,,,US
1,201215,10,,,US
1,201218,10,,,US
1,201219,10,,,US
1,201216,10,,,US
1,201217,10,,,US
1,201220,10,,,US
1,201221,10,,,US
1,201223,10,,,US
1,201226,10,,,US
1,201227,10,,,US
1,201228,10,,,US
1,201229,10,,,US
1,201222,10,,,US
1,201224,10,,,US
1,201225,10,,,US
1,201230,10,,,US
1,201231,10,,,US
1,201232,10,,,US
1,201233,10,,,US
1,201234,10,,,US
1,201235,10,,,US
1,201236,10,,,US
1,201237,10,,,US
1,201238,10,,,US
1,201239,10,,,US
1,201240,10,,,US
1,201241,10,,,US
1,201243,10,,,US
1,201245,10,,,US
1,201246,10,,,US
1,201247,10,,,US
1,201248,10,,,US
1,201249,10,,,US
1,201242,10,,,US
1,201244,10,,,US
1,20125,10,,,US
1,20126,10,,,US
1,20127,10,,,US
1,20129,10,,,US
1,201280,10,,,US
1,201281,10,,,US
1,201282,10,,,US
1,201283,10,,,US
1,201284,10,,,US
1,201285,10,,,US
1,201286,10,,,US
1,201287,10,,,US
1,201289,10,,,US
1,201288,10,,,US
1,201300,10,,,US
1,201301,10,,,US
1,201302,10,,,US
1,201303,10,,,US
1,201304,10,,,US
1,201305,10,,,US
1,201306,10,,,US
1,201307,10,,,US
1,201308,10,,,US
1,201309,10,,,US
1,20131,10,,,US
1,20132,10,,,US
1,20137,10,,,US
1,20139,10,,,US
1,201330,10,,,US
1,201331,10,,,US
1,201334,10,,,US
1,201335,10,,,US
1,201338,10,,,US
1,201332,10,,,US
1,201333,10,,,US
1,201336,10,,,US
1,201337,10,,,US
1,201339,10,,,US
1,201340,10,,,US
1,201341,10,,,US
1,201344,10,,,US
1,201345,10,,,US
1,201347,10,,,US
1,201348,10,,,US
1,201349,10,,,US
1,201342,10,,,US
1,201343,10,,,US
1,201346,10,,,US
1,201350,10,,,US
1,201351,10,,,US
1,201352,10,,,US
1,201353,10,,,US
1,201354,10,,,US
1,201355,10,,,US
1,201356,10,,,US
1,201358,10,,,US
1,201359,10,,,US
1,201357,10,,,US
1,201360,10,,,US
1,201361,10,,,US
1,201362,10,,,US
1,201364,10,,,US
1,201365,10,,,US
1,201366,10,,,US
1,201367,10,,,US
1,201368,10,,,US
1,201369,10,,,US
1,201363,10,,,US
1,201380,10,,,US
1,201381,10,,,US
1,201382,10,,,US
1,201383,10,,,US
1,201387,10,,,US
1,201388,10,,,US
1,201389,10,,,US
1,201384,10,,,US
1,201385,10,,,US
1,201386,10,,,US
1,201400,10,,,US
1,201401,10,,,US
1,201402,10,,,US
1,201403,10,,,US
1,201404,10,,,US
1,201406,10,,,US
1,201407,10,,,US
1,201408,10,,,US
1,201409,10,,,US
1,201470,10,,,US
1,201471,10,,,US
1,201472,10,,,US
1,201473,10,,,US
1,201474,10,,,US
1,201476,10,,,US
1,201477,10,,,US
1,201478,10,,,US
1,201479,10,,,US
1,201405,10,,,US
1,201410,10,,,US
1,201411,10,,,US
1,201412,10,,,US
1,201413,10,,,US
1,201414,10,,,US
1,201415,10,,,US
1,201416,10,,,US
1,201417,10,,,US
1,201419,10,,,US
1,201490,10,,,US
1,201491,10,,,US
1,201492,10,,,US
1,201493,10,,,US
1,201494,10,,,US
1,201495,10,,,US
1,201496,10,,,US
1,201497,10,,,US
1,201499,10,,,US
1,201418,10,,,US
1,20142,10,,,US
1,20144,10,,,US
1,201430,10,,,US
1,201431,10,,,US
1,201438,10,,,US
1,201439,10,,,US
1,201432,10,,,US
1,201433,10,,,US
1,201434,10,,,US
1,201435,10,,,US
1,201436,10,,,US
1,201437,10,,,US
1,201450,10,,,US
1,201452,10,,,US
1,201453,10,,,US
1,201454,10,,,US
1,201455,10,,,US
1,201456,10,,,US
1,201458,10,,,US
1,201459,10,,,US
1,201451,10,,,US
1,201457,10,,,US
1,201460,10,,,US
1,201462,10,,,US
1,201463,10,,,US
1,201464,10,,,US
1,201465,10,,,US
1,201466,10,,,US
1,201467,10,,,US
1,201468,10,,,US
1,201469,10,,,US
1,201461,10,,,US
1,201475,10,,,US
1,201480,10,,,US
1,201481,10,,,US
1,201482,10,,,US
1,201483,10,,,US
1,201484,10,,,US
1,201485,10,,,US
1,201486,10,,,US
1,201487,10,,,US
1,201488,10,,,US
1,201489,10,,,US
1,201498,10,,,US
1,20150,10,,,US
1,20155,10,,,US
1,20157,10,,,US
1,201510,10,,,US
1,201511,10,,,US
1,201513,10,,,US
1,201514,10,,,US
1,201515,10,,,US
1,201516,10,,,US
1,201517,10,,,US
1,201518,10,,,US
1,201519,10,,,US
1,201590,10,,,US
1,201591,10,,,US
1,201593,10,,,US
1,201594,10,,,US
1,201595,10,,,US
1,201596,10,,,US
1,201597,10,,,US
1,201598,10,,,US
1,201599,10,,,US
1,201512,10,,,US
1,201520,10,,,US
1,201521,10,,,US
1,201522,10,,,US
1,201523,10,,,US
1,201524,10,,,US
1,201526,10,,,US
1,201527,10,,,US
1,201528,10,,,US
1,201525,10,,,US
1,201529,10,,,US
1,201530,10,,,US
1,201531,10,,,US
1,201532,10,,,US
1,201533,10,,,US
1,201534,10,,,US
1,201535,10,,,US
1,201536,10,,,US
1,201537,10,,,US
1,201538,10,,,US
1,201539,10,,,US
1,201540,10,,,US
1,201541,10,,,US
1,201542,10,,,US
1,201543,10,,,US
1,201544,10,,,US
1,201545,10,,,US
1,201546,10,,,US
1,201548,10,,,US
1,201549,10,,,US
1,201547,10,,,US
1,201560,10,,,US
1,201561,10,,,US
1,201562,10,,,US
1,201563,10,,,US
1,201564,10,,,US
1,201565,10,,,US
1,201566,10,,,US
1,201567,10,,,US
1,201568,10,,,US
1,201569,10,,,US
1,201580,10,,,US
1,201581,10,,,US
1,201582,10,,,US
1,201583,10,,,US
1,201584,10,,,US
1,201586,10,,,US
1,201587,10,,,US
1,201588,10,,,US
1,201589,10,,,US
1,201585,10,,,US
1,201592,10,,,US
1,20160,10,,,US
1,20161,10,,,US
1,20166,10,,,US
1,201620,10,,,US
1,201621,10,,,US
1,201622,10,,,US
1,201623,10,,,US
1,201624,10,,,US
1,201625,10,,,US
1,201627,10,,,US
1,201628,10,,,US
1,201629,10,,,US
1,201640,10,,,US
1,201641,10,,,US
1,201642,10,,,US
1,201643,10,,,US
1,201644,10,,,US
1,201645,10,,,US
1,201647,10,,,US
1,201648,10,,,US
1,201649,10,,,US
1,201626,10,,,US
1,201630,10,,,US
1,201632,10,,,US
1,201633,10,,,US
1,201635,10,,,US
1,201636,10,,,US
1,201637,10,,,US
1,201638,10,,,US
1,201639,10,,,US
1,201631,10,,,US
1,201634,10,,,US
1,201646,10,,,US
1,201650,10,,,US
1,201651,10,,,US
1,201652,10,,,US
1,201654,10,,,US
1,201655,10,,,US
1,201657,10,,,US
1,201658,10,,,US
1,201659,10,,,US
1,201653,10,,,US
1,201656,10,,,US
1,201670,10,,,US
1,201671,10,,,US
1,201672,10,,,US
1,201673,10,,,US
1,201674,10,,,US
1,201675,10,,,US
1,201676,10,,,US
1,201677,10,,,US
1,201679,10,,,US
1,201678,10,,,US
1,201680,10,,,US
1,201681,10,,,US
1,201682,10,,,US
1,201684,10,,,US
1,201685,10,,,US
1,201686,10,,,US
1,201687,10,,,US
1,201688,10,,,US
1,201689,10,,,US
1,201683,10,,,US
1,201690,10,,,US
1,201691,10,,,US
1,201693,10,,,US
1,201694,10,,,US
1,201695,10,,,US
1,201696,10,,,US
1,201697,10,,,US
1,201698,10,,,US
1,201699,10,,,US
1,201692,10,,,US
1,201700,10,,,US
1,201701,10,,,US
1,201702,10,,,US
1,201703,10,,,US
1,201704,10,,,US
