carrier_id,carrier_name,country_name,country_code,national_destination_code
1022,SingTelOptus,Australia,61,432
1022,SingTelOptus,Australia,61,479
1022,SingTelOptus,Australia,61,2
1023,OrangeAustr,Austria,43,677
1023,OrangeAustr,Austria,43,688
1027,KPN,Belgium,32,471
1029,Belgacom Mob,Belgium,32,470
1030,MTN BENIN,Benin,229,97
1032,Celtel Burki,Burkina Faso,226,76
1032,Celtel Burki,Burkina Faso,226,
1035,GrameenPhone,Bangladesh,880,130
1035,GrameenPhone,Bangladesh,880,13203 
1035,GrameenPhone,Bangladesh,880,13210 
1035,GrameenPhone,Bangladesh,880,1322
1035,GrameenPhone,Bangladesh,880,13240 
1035,GrameenPhone,Bangladesh,880,13243 
1035,GrameenPhone,Bangladesh,880,13248
1035,GrameenPhone,Bangladesh,880,13252
1035,GrameenPhone,Bangladesh,880,13254
1036,EAD Bulgaria,Bulgaria,359,89
1042,Telecel CA,Central African Rep,236,
1044,Fido Solutio,Canada,1,204
1045,Rogers,Canada,1,514
1045,Rogers,Canada,1,604
1045,Rogers,Canada,1,778
1049,China Mob 1,China,86,2
1053,CelTel Congo,Congo [DRC],243,2
1078,BOUYGUTEL,France,33,6699
1078,BOUYGUTEL,France,33,698
1078,BOUYGUTEL,France,33,761
1081,O2 UK,United Kingdom,44,7404
1081,O2 UK,United Kingdom,44,7405
1081,O2 UK,United Kingdom,44,7417
1081,O2 UK,United Kingdom,44,754
1081,O2 UK,United Kingdom,44,784
1081,O2 UK,United Kingdom,44,785
1081,O2 UK,United Kingdom,44,787
1081,O2 UK,United Kingdom,44,10
1083,T-Mobile UK,United Kingdom,44,30
1085,Vodafone UK,United Kingdom,44,7000
1090,Africell Gam,Gambia,220,20
1092,Cosmote-Mobi,Greece,30,01
1094,Q TelecomSA,Greece,30,693
1107,Wind Telecom,Italy,39,323
1109,OrangeJordan,Jordan,962,77
1111,SoftBank,Japan,81,8041
1111,SoftBank,Japan,81,8044
1111,SoftBank,Japan,81,8091
1111,SoftBank,Japan,81,80960
1111,SoftBank,Japan,81,90296
1111,SoftBank,Japan,81,90299
1111,SoftBank,Japan,81,90341
1111,SoftBank,Japan,81,90393
1111,SoftBank,Japan,81,90395
1111,SoftBank,Japan,81,90834
1111,SoftBank,Japan,81,90845
1111,SoftBank,Japan,81,90856
1111,SoftBank,Japan,81,90965
1111,SoftBank,Japan,81,9098
1114,CAMBODIA SHI,Cambodia,855,11
1115,SK Telecom-R,South Korea,82,1049
1115,SK Telecom-R,South Korea,82,
1117,Lonestar Cel,Liberia,231,9
1122,TANGO,Luxembourg,352,77
1124,IAM,Morocco,212,650
1124,IAM,Morocco,212,654
1124,IAM,Morocco,212,666
1124,IAM,Morocco,212,673
1125,Orange Maroc,Morocco,212,
1126,OrangeMoldav,Moldova Republic of,373,1
1127,ANTARIS,Madagascar,261,2
1129,MOBIMAK,Macedonia Republic,389,1
1131,IKATEL,Mali,223,2
1132,Vodaf. Malta,Malta,356,92
1133,Vodacom Moza,Mozambique,258,4
1134,MAURITEL,Mauritania,222,
1134,MAURITEL,Mauritania,222,10
1138,MTC,Namibia,264,81
1145,KPN B.V,Netherlands,31,613
1145,KPN B.V,Netherlands,31,620
1147,TELENOR,Norway,47,4105
1147,TELENOR,Norway,47,
1147,TELENOR,Norway,47,1
1150,Globe Teleco,Philippines,63,9050000002
1150,Globe Teleco,Philippines,63,9060000001
1150,Globe Teleco,Philippines,63,9060000003
1150,Globe Teleco,Philippines,63,9060000006
1150,Globe Teleco,Philippines,63,9150000001
1150,Globe Teleco,Philippines,63,9150000004
1150,Globe Teleco,Philippines,63,9160000001
1150,Globe Teleco,Philippines,63,9160000003
1150,Globe Teleco,Philippines,63,9160000006
1150,Globe Teleco,Philippines,63,9260000002
1150,Globe Teleco,Philippines,63,9260000008
1150,Globe Teleco,Philippines,63,9350000001
1150,Globe Teleco,Philippines,63,9350000002
1150,Globe Teleco,Philippines,63,9350000005
1150,Globe Teleco,Philippines,63,9360000003
1150,Globe Teleco,Philippines,63,9370000001
1158,OrangeRomani,Romania,40,10
1159,LLC T2 Mob,Russia,7,346
1159,LLC T2 Mob,Russia,7,8422495
1159,LLC T2 Mob,Russia,7,842298
1159,LLC T2 Mob,Russia,7,84235902
1159,LLC T2 Mob,Russia,7,84235912
1159,LLC T2 Mob,Russia,7,84235955
1159,LLC T2 Mob,Russia,7,9002187
1159,LLC T2 Mob,Russia,7,9004714
1159,LLC T2 Mob,Russia,7,90204
1159,LLC T2 Mob,Russia,7,902244
1159,LLC T2 Mob,Russia,7,90226
1159,LLC T2 Mob,Russia,7,902310
1159,LLC T2 Mob,Russia,7,902312
1159,LLC T2 Mob,Russia,7,902329
1159,LLC T2 Mob,Russia,7,902358
1159,LLC T2 Mob,Russia,7,902400
1159,LLC T2 Mob,Russia,7,902409
1159,LLC T2 Mob,Russia,7,902462
1159,LLC T2 Mob,Russia,7,902506
1159,LLC T2 Mob,Russia,7,902511
1159,LLC T2 Mob,Russia,7,90253
1159,LLC T2 Mob,Russia,7,90256
1159,LLC T2 Mob,Russia,7,902672
1159,LLC T2 Mob,Russia,7,902937
1159,LLC T2 Mob,Russia,7,90414
1159,LLC T2 Mob,Russia,7,904266
